"";"dates";"orders";"avg_price";"revenue"
"1";2016-08-29;2;399;798
"2";2016-08-30;2;399;798
"3";2016-08-31;2;399;798
"4";2016-09-01;2;399;798
"5";2016-09-02;2;399;798
"6";2016-09-03;2;399;798
"7";2016-09-04;2;399;798
"8";2016-09-05;2;399;798
"9";2016-09-06;2;399;798
"10";2016-09-07;2;399;798
"11";2016-09-08;2;399;798
"12";2016-09-09;2;399;798
"13";2016-09-10;2;399;798
"14";2016-09-11;2;399;798
"15";2016-09-12;2;399;798
"16";2016-09-13;2;399;798
"17";2016-09-14;2;399;798
"18";2016-09-15;2;399;798
"19";2016-09-16;2;399;798
"20";2016-09-17;2;399;798
"21";2016-09-18;2;399;798
"22";2016-09-19;2;399;798
"23";2016-09-20;2;399;798
"24";2016-09-21;2;399;798
"25";2016-09-22;2;399;798
"26";2016-09-23;2;399;798
"27";2016-09-24;2;399;798
"28";2016-09-25;2;399;798
"29";2016-09-26;2;399;798
"30";2016-09-27;2;399;798
"31";2016-09-28;2;399;798
"32";2016-09-29;2;399;798
"33";2016-09-30;2;399;798
"34";2016-10-01;2;399;798
"35";2016-10-02;2;399;798
"36";2016-10-03;2;399;798
"37";2016-10-04;2;399;798
"38";2016-10-05;2;399;798
"39";2016-10-06;2;399;798
"40";2016-10-07;2;399;798
"41";2016-10-08;2;399;798
"42";2016-10-09;2;399;798
"43";2016-10-10;2;399;798
"44";2016-10-11;2;399;798
"45";2016-10-12;2;399;798
"46";2016-10-13;2;399;798
"47";2016-10-14;2;399;798
"48";2016-10-15;2;399;798
"49";2016-10-16;2;399;798
"50";2016-10-17;2;399;798
"51";2016-10-18;2;399;798
"52";2016-10-19;2;399;798
"53";2016-10-20;2;399;798
"54";2016-10-21;2;399;798
"55";2016-10-22;2;399;798
"56";2016-10-23;2;399;798
"57";2016-10-24;2;399;798
"58";2016-10-25;2;399;798
"59";2016-10-26;2;399;798
"60";2016-10-27;2;399;798
"61";2016-10-28;2;399;798
"62";2016-10-29;2;399;798
"63";2016-10-30;2;399;798
"64";2016-10-31;2;399;798
"65";2016-11-01;2;399;798
"66";2016-11-02;2;399;798
"67";2016-11-03;2;399;798
"68";2016-11-04;2;399;798
"69";2016-11-05;2;399;798
"70";2016-11-06;2;399;798
"71";2016-11-07;2;399;798
"72";2016-11-08;2;399;798
"73";2016-11-09;2;399;798
"74";2016-11-10;2;399;798
"75";2016-11-11;2;399;798
"76";2016-11-12;2;399;798
"77";2016-11-13;2;399;798
"78";2016-11-14;2;399;798
"79";2016-11-15;2;399;798
"80";2016-11-16;2;399;798
"81";2016-11-17;2;399;798
"82";2016-11-18;2;399;798
"83";2016-11-19;2;399;798
"84";2016-11-20;2;399;798
"85";2016-11-21;2;399;798
"86";2016-11-22;2;399;798
"87";2016-11-23;2;399;798
"88";2016-11-24;2;399;798
"89";2016-11-25;2;399;798
"90";2016-11-26;2;399;798
"91";2016-11-27;2;399;798
"92";2016-11-28;2;399;798
"93";2016-11-29;2;399;798
"94";2016-11-30;2;399;798
"95";2016-12-01;2;399;798
"96";2016-12-02;2;399;798
"97";2016-12-03;2;399;798
"98";2016-12-04;2;399;798
"99";2016-12-05;2;399;798
"100";2016-12-06;2;399;798
"101";2016-12-07;2;399;798
"102";2016-12-08;2;399;798
"103";2016-12-09;2;399;798
"104";2016-12-10;2;399;798
"105";2016-12-11;2;399;798
"106";2016-12-12;2;399;798
"107";2016-12-13;2;399;798
"108";2016-12-14;2;399;798
"109";2016-12-15;2;399;798
"110";2016-12-16;2;399;798
"111";2016-12-17;2;399;798
"112";2016-12-18;2;399;798
"113";2016-12-19;2;399;798
"114";2016-12-20;2;399;798
"115";2016-12-21;2;399;798
"116";2016-12-22;2;399;798
"117";2016-12-23;2;399;798
"118";2016-12-24;2;399;798
"119";2016-12-25;2;399;798
"120";2016-12-26;2;399;798
"121";2016-12-27;2;399;798
"122";2016-12-28;2;399;798
"123";2016-12-29;2;399;798
"124";2016-12-30;2;399;798
"125";2016-12-31;2;399;798
"126";2017-01-01;2;399;798
"127";2017-01-02;2;399;798
"128";2017-01-03;2;399;798
"129";2017-01-04;2;399;798
"130";2017-01-05;2;399;798
"131";2017-01-06;2;399;798
"132";2017-01-07;2;399;798
"133";2017-01-08;1;129.99;129.99
"134";2017-01-09;1;254.995;254.995
"135";2017-01-10;1;380;380
"136";2017-01-11;3;380;1140
"137";2017-01-12;1;377;377
"138";2017-01-13;3;380;1140
"139";2017-01-14;3;331.665;994.995
"140";2017-01-15;3;283.33;849.99
"141";2017-01-16;2;83.695;167.39
"142";2017-01-17;5;67.414;337.07
"143";2017-01-18;3;419.236666666667;1257.71
"144";2017-01-19;3;159.6;478.8
"145";2017-01-20;1;195.99;195.99
"146";2017-01-21;3;97.16;291.48
"147";2017-01-22;2;70.745;141.49
"148";2017-01-23;6;141.626666666667;849.76
"149";2017-01-24;7;179.248571428571;1254.74
"150";2017-01-25;10;42.32;423.2
"151";2017-01-26;13;123.315384615385;1603.1
"152";2017-01-27;5;188.968;944.84
"153";2017-01-28;1;155;155
"154";2017-01-29;2;159.995;319.99
"155";2017-01-30;4;183.075;732.3
"156";2017-01-31;2;143;286
"157";2017-02-01;6;277.323333333333;1663.94
"158";2017-02-02;7;252.695714285714;1768.87
"159";2017-02-03;6;343.973333333333;2063.84
"160";2017-02-04;3;269.993333333333;809.98
"161";2017-02-05;1;49.9;49.9
"162";2017-02-06;3;259.993333333333;779.98
"163";2017-02-07;4;197.735;790.94
"164";2017-02-08;13;137.122307692308;1782.59
"165";2017-02-09;10;213.479;2134.79
"166";2017-02-10;5;265.972;1329.86
"167";2017-02-11;6;210.758333333333;1264.55
"168";2017-02-12;3;147.303333333333;441.91
"169";2017-02-13;12;275.640833333333;3307.69
"170";2017-02-14;5;197.972;989.86
"171";2017-02-15;4;293.3425;1173.37
"172";2017-02-16;4;106.965;427.86
"173";2017-02-17;7;127.385714285714;891.7
