"";"dates";"orders";"avg_price";"revenue"
"1";ago 2016;3;104,7;104,7
"2";set 2016;30;1047;1047
"3";out 2016;31;1081,9;1081,9
"4";nov 2016;30;1047;1047
"5";dez 2016;31;1081,9;1081,9
"6";jan 2017;454;3376,38081882736;67668,5
"7";fev 2017;942;3268,66041165321;130919,18
"8";mar 2017;1531;3913,55318712642;203420,76
"9";abr 2017;1438;3953,33853382118;211091,12
"10";mai 2017;2173;4029,68207125865;283810,76
"11";jun 2017;1823;3649,36646123135;225836,65
"12";jul 2017;2401;3487,38797891697;272500,52
"13";ago 2017;2488;3645,01381674629;305537,51
"14";set 2017;2484;4285,80525458568;371110,49
"15";out 2017;2681;4420,72780145988;380206,84
"16";nov 2017;3530;3847,14239703576;449632,995
"17";dez 2017;3171,5;3865,14727146685;399317,68
"18";jan 2018;4276;3669,91117768065;505945,62
"19";fev 2018;3624;3231,35129339242;420385,36
"20";mar 2018;4124;4028,84803753826;535037,42
"21";abr 2018;3788;4031,19406335507;514400,88
"22";mai 2018;3775;4315,62599622664;504839,285
"23";jun 2018;3082;4088,13525033485;406761,065
"24";jul 2018;3045;4103,1011522549;411315,97
"25";ago 2018;2744,5;3718,28490953208;357968,4
