"";"dates";"orders";"avg_price";"revenue"
"1";ago 2016;6;1197;2394
"2";set 2016;60;11970;23940
"3";out 2016;62;12369;24738
"4";nov 2016;60;11970;23940
"5";dez 2016;62;12369;24738
"6";jan 2017;99;7720,36928937729;20291,83
"7";fev 2017;147,5;4998,28831959707;27694,565
"8";mar 2017;163;4871,6585546398;25637,3
"9";abr 2017;135,5;5113,49264285714;29782,9075
"10";mai 2017;177;5629,41975793651;29407,605
"11";jun 2017;150;4253,17477164502;38823,405
"12";jul 2017;136,5;3704,38588772894;18410,6
"13";ago 2017;172;4517,79631135531;24474,55
"14";set 2017;223,5;4913,73715878566;36121,62
"15";out 2017;218;4890,02315151515;39950,69
"16";nov 2017;350,5;4967,24996167383;55726,73
"17";dez 2017;328;6060,1157892464;67685,06
"18";jan 2018;391,5;5257,83291427675;63744,84
"19";fev 2018;332;3520,94769549714;47730,64
"20";mar 2018;368;4751,1795242049;49514,81
"21";abr 2018;300;3927,82974943606;41708,09
"22";mai 2018;257;4960,88877383727;41424,01
"23";jun 2018;242;4401,044411132;34894,85
"24";jul 2018;192,5;5456,6999215368;38187,66
"25";ago 2018;187;3353,4559015984;26481,78
