"";"dates";"orders";"avg_price";"revenue"
"1";2016-08-29;1;34.9;34.9
"2";2016-08-30;1;34.9;34.9
"3";2016-08-31;1;34.9;34.9
"4";2016-09-01;1;34.9;34.9
"5";2016-09-02;1;34.9;34.9
"6";2016-09-03;1;34.9;34.9
"7";2016-09-04;1;34.9;34.9
"8";2016-09-05;1;34.9;34.9
"9";2016-09-06;1;34.9;34.9
"10";2016-09-07;1;34.9;34.9
"11";2016-09-08;1;34.9;34.9
"12";2016-09-09;1;34.9;34.9
"13";2016-09-10;1;34.9;34.9
"14";2016-09-11;1;34.9;34.9
"15";2016-09-12;1;34.9;34.9
"16";2016-09-13;1;34.9;34.9
"17";2016-09-14;1;34.9;34.9
"18";2016-09-15;1;34.9;34.9
"19";2016-09-16;1;34.9;34.9
"20";2016-09-17;1;34.9;34.9
"21";2016-09-18;1;34.9;34.9
"22";2016-09-19;1;34.9;34.9
"23";2016-09-20;1;34.9;34.9
"24";2016-09-21;1;34.9;34.9
"25";2016-09-22;1;34.9;34.9
"26";2016-09-23;1;34.9;34.9
"27";2016-09-24;1;34.9;34.9
"28";2016-09-25;1;34.9;34.9
"29";2016-09-26;1;34.9;34.9
"30";2016-09-27;1;34.9;34.9
"31";2016-09-28;1;34.9;34.9
"32";2016-09-29;1;34.9;34.9
"33";2016-09-30;1;34.9;34.9
"34";2016-10-01;1;34.9;34.9
"35";2016-10-02;1;34.9;34.9
"36";2016-10-03;1;34.9;34.9
"37";2016-10-04;1;34.9;34.9
"38";2016-10-05;1;34.9;34.9
"39";2016-10-06;1;34.9;34.9
"40";2016-10-07;1;34.9;34.9
"41";2016-10-08;1;34.9;34.9
"42";2016-10-09;1;34.9;34.9
"43";2016-10-10;1;34.9;34.9
"44";2016-10-11;1;34.9;34.9
"45";2016-10-12;1;34.9;34.9
"46";2016-10-13;1;34.9;34.9
"47";2016-10-14;1;34.9;34.9
"48";2016-10-15;1;34.9;34.9
"49";2016-10-16;1;34.9;34.9
"50";2016-10-17;1;34.9;34.9
"51";2016-10-18;1;34.9;34.9
"52";2016-10-19;1;34.9;34.9
"53";2016-10-20;1;34.9;34.9
"54";2016-10-21;1;34.9;34.9
"55";2016-10-22;1;34.9;34.9
"56";2016-10-23;1;34.9;34.9
"57";2016-10-24;1;34.9;34.9
"58";2016-10-25;1;34.9;34.9
"59";2016-10-26;1;34.9;34.9
"60";2016-10-27;1;34.9;34.9
"61";2016-10-28;1;34.9;34.9
"62";2016-10-29;1;34.9;34.9
"63";2016-10-30;1;34.9;34.9
"64";2016-10-31;1;34.9;34.9
"65";2016-11-01;1;34.9;34.9
"66";2016-11-02;1;34.9;34.9
"67";2016-11-03;1;34.9;34.9
"68";2016-11-04;1;34.9;34.9
"69";2016-11-05;1;34.9;34.9
"70";2016-11-06;1;34.9;34.9
"71";2016-11-07;1;34.9;34.9
"72";2016-11-08;1;34.9;34.9
"73";2016-11-09;1;34.9;34.9
"74";2016-11-10;1;34.9;34.9
"75";2016-11-11;1;34.9;34.9
"76";2016-11-12;1;34.9;34.9
"77";2016-11-13;1;34.9;34.9
"78";2016-11-14;1;34.9;34.9
"79";2016-11-15;1;34.9;34.9
"80";2016-11-16;1;34.9;34.9
"81";2016-11-17;1;34.9;34.9
"82";2016-11-18;1;34.9;34.9
"83";2016-11-19;1;34.9;34.9
"84";2016-11-20;1;34.9;34.9
"85";2016-11-21;1;34.9;34.9
"86";2016-11-22;1;34.9;34.9
"87";2016-11-23;1;34.9;34.9
"88";2016-11-24;1;34.9;34.9
"89";2016-11-25;1;34.9;34.9
"90";2016-11-26;1;34.9;34.9
"91";2016-11-27;1;34.9;34.9
"92";2016-11-28;1;34.9;34.9
"93";2016-11-29;1;34.9;34.9
"94";2016-11-30;1;34.9;34.9
"95";2016-12-01;1;34.9;34.9
"96";2016-12-02;1;34.9;34.9
"97";2016-12-03;1;34.9;34.9
"98";2016-12-04;1;34.9;34.9
"99";2016-12-05;1;34.9;34.9
"100";2016-12-06;1;34.9;34.9
"101";2016-12-07;1;34.9;34.9
"102";2016-12-08;1;34.9;34.9
"103";2016-12-09;1;34.9;34.9
"104";2016-12-10;1;34.9;34.9
"105";2016-12-11;1;34.9;34.9
"106";2016-12-12;1;34.9;34.9
"107";2016-12-13;1;34.9;34.9
"108";2016-12-14;1;34.9;34.9
"109";2016-12-15;1;34.9;34.9
"110";2016-12-16;1;34.9;34.9
"111";2016-12-17;1;34.9;34.9
"112";2016-12-18;1;34.9;34.9
"113";2016-12-19;1;34.9;34.9
"114";2016-12-20;1;34.9;34.9
"115";2016-12-21;1;34.9;34.9
"116";2016-12-22;1;34.9;34.9
"117";2016-12-23;1;34.9;34.9
"118";2016-12-24;1;34.9;34.9
"119";2016-12-25;1;34.9;34.9
"120";2016-12-26;1;34.9;34.9
"121";2016-12-27;1;34.9;34.9
"122";2016-12-28;1;34.9;34.9
"123";2016-12-29;1;34.9;34.9
"124";2016-12-30;1;34.9;34.9
"125";2016-12-31;1;34.9;34.9
"126";2017-01-01;1;34.9;34.9
"127";2017-01-02;1;34.9;34.9
"128";2017-01-03;1;34.9;34.9
"129";2017-01-04;1;34.9;34.9
"130";2017-01-05;1;34.9;34.9
"131";2017-01-06;2;134.945;269.89
"132";2017-01-07;2;108.0425;519
"133";2017-01-08;5;81.14;405.7
"134";2017-01-09;1;75.28125;349.99
"135";2017-01-10;4;69.4225;277.69
"136";2017-01-11;4;110.3475;441.39
"137";2017-01-12;9;124.61;1121.49
"138";2017-01-13;5;108.72;543.6
"139";2017-01-14;12;59.0916666666667;709.1
"140";2017-01-15;15;84.7193333333334;1270.79
"141";2017-01-16;15;104.472666666667;1567.09
"142";2017-01-17;17;74.6576470588235;1269.18
"143";2017-01-18;18;94.6594444444445;1703.87
"144";2017-01-19;20;143.045;2860.9
"145";2017-01-20;19;101.056315789474;1920.07
"146";2017-01-21;15;90.3853333333333;1355.78
"147";2017-01-22;18;119.011666666667;2142.21
